,SPECIES,EPILIST,Epiphyte (FLORA),Hemiepiphyte (FLORA),Rupicolous (FLORA),Terrestrial (FLORA),Unknown (FLORA),Missing (FLORA),REMARKS
142,Philodendron squamiferum,Missing,0,1,0,0,0,0,NA
143,Philodendron surinamense,Missing,0,1,0,0,0,0,NA
144,Philodendron tortum,Missing,0,1,0,0,0,0,NA
145,Philodendron venustifoliatum,Missing,0,1,0,1,0,0,NA
146,Philodendron wullschlaegelii,Missing,0,1,0,1,0,0,NA
147,Syngonium angustatum,Missing,0,1,0,0,0,0,NA
148,Vanilla angustipetala,Missing,0,1,0,0,0,0,NA
149,Vanilla bahiana,Missing,0,1,0,0,0,0,NA
150,Vanilla chamissonis,Missing,0,1,0,0,0,0,NA
151,Vanilla edwallii,Missing,0,1,0,0,0,0,NA
152,Vanilla mexicana,Missing,0,1,0,0,0,0,NA
153,Vanilla ovata,Missing,0,1,0,0,0,0,NA
154,Vanilla planifolia,Missing,0,1,0,0,0,0,NA
155,Vanilla pompona,Missing,0,1,0,0,0,0,NA
156,Vanilla schwackeana,Missing,0,1,0,0,0,0,NA
