"","Relevé","TITLE","LITERATURE","YEAR","TAX_SCOPE","SAMPLING_METHOD","QUANT_METHOD","FAMILY","GENERA","EPITHET","SPECIES","IDENTIFICATION_CONFIDENCE","EPILIST","EPIPHYTE_FLORA","HEMIEPIPHYTE_FLORA","RUPICOLOUS_FLORA","TERRESTRIAL_FLORA","UNKNOWN_FLORA","NATURALNESS","INCLUSION.REQUIREMENTS","NUMBER_INDIVIDUALS","FREQUENCY","BIOMASS","SCORE","LONGITUDE","LATITUDE","PRECISION","PHOROPHYTE_FAMILY","PHOROPHYTE_GENUS","PHOROPHYTE_EPITHET","DBH","HEIGHT","OBS.","BIOME","COUNTRY","WWF_ECOREGION","PHYLUM"
"11",11,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Polypodiaceae","Pleopeltis","burchellii","Pleopeltis burchellii","","Missing",1,0,0,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Pteridophyte"
"12",12,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Polypodiaceae","Pleopeltis","macrocarpa","Pleopeltis macrocarpa","","Epiphyte",1,0,1,1,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Pteridophyte"
"13",13,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","","Epiphyte",1,0,0,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"14",14,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Polypodiaceae","Serpocaulon","triseriale","Serpocaulon triseriale","","Epiphyte",0,0,1,1,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Pteridophyte"
"15",15,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Polypodiaceae","Serpocaulon","triseriale","Serpocaulon triseriale","","Epiphyte",0,0,1,1,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Pteridophyte"
"16",16,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Bromeliaceae","Tillandsia","loliacea","Tillandsia loliacea","","Epiphyte",1,0,1,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"17",17,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Bromeliaceae","Tillandsia","recurvata","Tillandsia recurvata","","Epiphyte",1,0,1,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"18",18,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","","Epiphyte",1,0,1,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"19",19,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Bromeliaceae","Tillandsia","stricta","Tillandsia stricta","","Epiphyte",1,0,1,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"20",20,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Orchidaceae","Vanilla","palmarum","Vanilla palmarum","","Epiphyte",0,1,0,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"21",21,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Billbergia","porteana","Billbergia porteana","","Epiphyte",1,0,1,0,0,"Anthropic","",4,NA,NA,"",-39.76416667,-12.91611111,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"22",22,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Orchidaceae","Catasetum","luridum","Catasetum luridum","cf.","Epiphyte",1,0,0,0,0,"Anthropic","",11,NA,NA,"",-39.76416667,-12.91611111,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"23",23,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Orchidaceae","Cyrtopodium","saintlegerianum","Cyrtopodium saintlegerianum","","Missing",1,0,0,0,0,"Anthropic","",1,NA,NA,"",-39.76416667,-12.91611111,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"24",24,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Polypodiaceae","Microgramma",NA,"Microgramma sp.2","morpho",NA,0,0,0,0,0,"Anthropic","",3,NA,NA,"",-39.76416667,-12.91611111,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"25",25,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Polypodiaceae","Microgramma","vacciniifolia","Microgramma vacciniifolia","","Epiphyte",1,0,0,0,0,"Anthropic","",4,NA,NA,"",-39.76416667,-12.91611111,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"26",26,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Polypodiaceae","Pleopeltis","macrocarpa","Pleopeltis macrocarpa","","Epiphyte",1,0,1,1,0,"Anthropic","",3,NA,NA,"",-39.76416667,-12.91611111,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"27",27,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Orchidaceae","Vanilla","palmarum","Vanilla palmarum","","Epiphyte",0,1,0,0,0,"Anthropic","",29,NA,NA,"",-39.76416667,-12.91611111,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"28",28,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Araceae","Anthurium","affine","Anthurium affine","","Epiphyte",0,0,1,0,0,"Semi-natural","",1,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"29",29,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Araceae","Anthurium","affine","Anthurium affine","","Epiphyte",0,0,1,0,0,"Semi-natural","",1,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"30",30,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Billbergia","porteana","Billbergia porteana","","Epiphyte",1,0,1,0,0,"Semi-natural","",23,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"31",31,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Orchidaceae","Catasetum","luridum","Catasetum luridum","cf.","Epiphyte",1,0,0,0,0,"Semi-natural","",5,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"32",32,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Orchidaceae","Cyrtopodium","saintlegerianum","Cyrtopodium saintlegerianum","","Missing",1,0,0,0,0,"Semi-natural","",1,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"33",33,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Moraceae","Ficus","calyptroceras","Ficus calyptroceras","","Hemiepiphyte",0,1,0,1,0,"Semi-natural","",1,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"34",34,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Lomariopsidaceae","Lomariopsis","marginata","Lomariopsis marginata","","Epiphyte",0,1,0,0,0,"Semi-natural","",8,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"35",35,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Polypodiaceae","Microgramma","vacciniifolia","Microgramma vacciniifolia","cf.","Epiphyte",1,0,0,0,0,"Semi-natural","",4,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"36",36,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Polypodiaceae","Pleopeltis","macrocarpa","Pleopeltis macrocarpa","","Epiphyte",1,0,1,1,0,"Semi-natural","",10,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"37",37,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","","Epiphyte",1,0,1,0,0,"Semi-natural","",1,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"38",38,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Tillandsia","loliacea","Tillandsia loliacea","","Epiphyte",1,0,1,0,0,"Semi-natural","",1,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"39",39,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Tillandsia","polystachia","Tillandsia polystachia","","Epiphyte",1,0,1,0,0,"Semi-natural","",2,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"40",40,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Tillandsia","recurvata","Tillandsia recurvata","","Epiphyte",1,0,1,0,0,"Semi-natural","",8,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"41",41,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","","Epiphyte",1,0,1,0,0,"Semi-natural","",19,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"42",42,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides","","Epiphyte",1,0,0,0,0,"Semi-natural","",3,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"43",43,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Orchidaceae","Vanilla","palmarum","Vanilla palmarum","","Epiphyte",0,1,0,0,0,"Semi-natural","",110,NA,NA,"",-39.765,-12.91722222,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"44",44,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Aechmea","lingulata","Aechmea lingulata","","Epiphyte",1,0,1,1,0,"Natural","",1,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"45",45,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Araceae","Anthurium","affine","Anthurium affine","","Epiphyte",0,0,1,0,0,"Natural","",1,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"46",46,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Araceae","Anthurium","affine","Anthurium affine","","Epiphyte",0,0,1,0,0,"Natural","",1,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"47",47,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Orchidaceae","Catasetum","luridum","Catasetum luridum","cf.","Epiphyte",1,0,0,0,0,"Natural","",7,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"48",48,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Orchidaceae","Cyrtopodium","saintlegerianum","Cyrtopodium saintlegerianum","","Missing",1,0,0,0,0,"Natural","",1,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"49",49,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Hohenbergia","lanata","Hohenbergia lanata","","Epiphyte",0,0,0,1,0,"Natural","",2,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"50",50,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Lomariopsidaceae","Lomariopsis","marginata","Lomariopsis marginata","","Epiphyte",0,1,0,0,0,"Natural","",2,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"51",51,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Polypodiaceae","Microgramma",NA,"Microgramma sp.2","morpho",NA,0,0,0,0,0,"Natural","",1,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"52",52,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Polypodiaceae","Microgramma","vacciniifolia","Microgramma vacciniifolia","cf.","Epiphyte",1,0,0,0,0,"Natural","",9,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"53",53,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Polypodiaceae","Microgramma","vacciniifolia","Microgramma vacciniifolia","","Epiphyte",1,0,0,0,0,"Natural","",34,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"54",54,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Polypodiaceae","Pleopeltis","macrocarpa","Pleopeltis macrocarpa","","Epiphyte",1,0,1,1,0,"Natural","",3,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Pteridophyte"
"55",55,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","","Epiphyte",1,0,1,0,0,"Natural","",2,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"56",56,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Tillandsia","globosa","Tillandsia globosa","","Epiphyte",1,0,0,0,0,"Natural","",2,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
"57",57,"Vascular epiphytes on licuri palms (Syagrus coronata (Mart.) Becc.) in a toposequence: Caatinga conservation indicator species","Paper",2020,"All","Plot","Abundance","Bromeliaceae","Tillandsia","recurvata","Tillandsia recurvata","","Epiphyte",1,0,1,0,0,"Natural","",3,NA,NA,"",-39.77472222,-12.92277778,"Plot","Arecaceae","Syagrus","coronata",NA,NA,"","Caatinga","Brazil","Bahia interior forests","Angiospermae"
